locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Łódź Górna,ul. Świętego Mikołaja,5,142,1299900,9184,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-swietego-mikolaja-5-pokojowe-z8a8g6,https://s2.adresowa.pl/oi/39/42/3957c0_fe9d_cover-5-pokojowe-mieszkanie-lodz-gorna-ul-swietego-mikolaja.jpg,Łódź Górna,ul. Świętego Mikołaja,2 / winda,2000,blok,9 184,"BEZPOŚREDNIO - proszę pośredników o niekontaktowanie się Apartament 141,54 m2 po kapitalnym remoncie. Lokal na 2. piętrze w 4-piętrowym budynku z windą. UKŁAD POMIESZCZEŃ: - Salon z aneksem kuchennym - Spiżarnia - 4 pokoje, w tym dwa z wydzielonymi miejscami na garderobę - Pralnia - Łazienka - Łazienka - Hol POWIERZCHNIE DODATKOWE: - Ogród zimowy: około 7,7 m2 - Taras: około 5,5 m2 - Komórka lokatorska INSTALACJE: - Centralne ogrzewanie miejskie - nowe, podłogowe w całym mieszkaniu. Prąd, woda, kanalizacja, kominek w salonie STANDARD WYKOŃCZENIA: - Stolarka okienna: nowa, z roletami zewnętrznymi. - Stolarka drzwiowa: wewnętrzna, bezprzylgowa Porta. - Posadzki: w 4 pokojach panele podłogowe podwyższonej klasy, w pozostałych pomieszczeniach gresy. - Ściany: wykończone gładziami, w salonie z aneksem kuchni sufit podwieszany. - Aneks kuchenny: nowa zabudowa ze sprzętem AGD (Bosch i inne), płyta indukcyjna z wbudowanym okapem. - Spiżarnia: z ukrytymi drzwiami z zabudowy meblowej. - Duża łazienka: biały montaż (wanna, umywalki, miska WC) i armatura Villeroy & Boch, zabudowa szafki Roca, gresy i glazury. - Mała łazienka: biały montaż Roca, zabudowa szafka Roca, gresy, armatura Grohe i Hansgrohe. BUDYNEK I OTOCZENIE: - Budynek na terenie ogrodzonym z miejscami postojowymi dla mieszkańców i ewentualnych gości. Istnieje możliwość zakupu miejsca postojowego od sąsiada za 80 tys",tak,tak,aneks,,własność,"Wyposażenie: klimatyzacja, kuchenka, lodówka, mikrofalówka, piekarnik, zmywarka",51.723565,19.500467
Łódź Górna,ul. Ignacego Paderewskiego,2,37,375000,10135,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ignacego-paderewskiego-2-pokojowe-k6x8o9,https://s2.adresowa.pl/oi/70/4b/3a3136_ccc3_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-ignacego-paderewskiego.jpg,Łódź Górna,ul. Ignacego Paderewskiego,10 / winda,,blok,10 135,"2-pokojowe mieszkanie z pięknym widokiem | Gotowe do wprowadzenia | Łódź - Paderewskiego 31C Na sprzedaż przytulne i funkcjonalne mieszkanie o powierzchni 37 m², położone na 10. piętrze w zadbanym, ocieplonym bloku z windą przy ul. Paderewskiego 31C w Łodzi. Lokal gotowy do zamieszkania - idealny dla pary, singla lub jako inwestycja pod wynajem. UKŁAD MIESZKANIA: - Przestronny salon z dużym oknem i pięknym widokiem na panoramę miasta. - Ustawna sypialnia, w której zmieści się zarówno łóżko, jak i szafa. - Oddzielna kuchnia z pełnym wyposażeniem. - Łazienka z wanną, umywalką i WC. - Przedpokój z miejscem na przechowywanie. - Komórka lokatorska w piwnicy w cenie. Mieszkanie jasne, dobrze doświetlone, o funkcjonalnym rozkładzie. Budynek z windą i domofonem. Czysta, zadbana klatka schodowa, spokojne sąsiedztwo. LOKALIZACJA: Nieruchomość położona w doskonale skomunikowanej części Łodzi - Górna, w bezpośrednim sąsiedztwie: - sklepy: Żabka pod samym blokiem, w pobliżu Lidl, Biedronka, Stokrotka - restauracje, punkty usługowe, apteki - szkoły, przedszkola i żłobki - wszystko w zasięgu spaceru - przystanki autobusowe i tramwajowe - szybki dojazd do centrum DODATKOWE INFORMACJE: - Czynsz: ok. 560 zł/mies. (z zaliczkami na wodę, ogrzewanie, fundusz remontowy). - Pełna własność z księgą wieczystą. - Ogrzewanie miejskie. Nie czekaj - umów się na prezentację i przekonaj się, jak komfortowo możesz tu mieszkać!",tak,,osobna,,własność,,51.727141,19.465518
Łódź Bałuty,ul. Zgierska,1,32,297000,9281,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-zgierska-1-pokoj-m8w1y4,https://s2.adresowa.pl/oi/7b/56/3a2fde_4aca_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-zgierska.jpg,Łódź Bałuty,ul. Zgierska,parter,,,9 281,"Sprzedam kawalerkę w Łodzi, ul. Zgierska (róg Poziomkowej). Mieszkanie położone jest na parterze w świeżo wyremontowanej kamienicy, okna wychodzą na podwórko, mieszkanie jest nowe, jeszcze nie zamieszkałe po remoncie. Wyposażone w meble (szafy, szafki, łóżko, stół, krzesła, kanapa, meble kuchenne, lodówka, wyposażona łazienka). Gotowe do zamieszkania. Do mieszkania przynależy mały ogródek i miejsce postojowe na zamkniętym podwórku. Mieszkanie składa się z 1 pokoju, a w nim wydzielonej sypialni i części kuchennej. Lokalizacja przy lesie, blisko do marketów, przystanek tramwajowy przy ulicy. Zapraszam.",,tak,,,,Wyposażenie: lodówka,51.807719,19.439124
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/srodmiescie-1/,,,,parter,2016,kamienica,,,,,,,,,,
Łódź Śródmieście,,3,98,950000,9694,Bez pośredników,3 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-3-pokojowe-98-m2-r1l7p4,https://s2.adresowa.pl/oi/24/33/3a2e5e_998d_cover-3-pokojowe-mieszkanie-lodz-srodmiescie.jpg,Łódź Śródmieście,,parter,,kamienica,9 694,"Lokal w centrum Łodzi - róg Kościuszki i Mickiewicza. Parter - idealny na kancelarię lub gabinety lekarskie. - Trzy duże pokoje (dwa są połączone przesuwnymi drzwiami, ale każdy ma osobne wejście). - Spora kuchnia. - Oddzielna łazienka i toaleta. Mieszkanie do odświeżenia. Nowe okna, wymienione rok temu. Do lokalu przynależy piwnica. Ogrzewanie i ciepła woda są miejskie. Gaz także jest, służy do gotowania. Kamienica czysta, zadbana, po wielu remontach. Lokatorzy spokojni i kulturalni. Zdjęcia poglądowe, nie prezentują aktualnego ustawienia mebli.",tak,,,,,,51.759292,19.455878
Łódź Olechów,ul. Dąbrówki,2,50,440000,8800,Oferta biura nieruchomości,2 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-dabrowki-2-pokojowe-v3j6n6,https://s2.adresowa.pl/oi/33/43/3a3296_e9eb_cover-2-pokojowe-mieszkanie-lodz-olechow-ul-dabrowki.jpg,Łódź Olechów,ul. Dąbrówki,1,,blok,8 800,"Na sprzedaż mieszkanie 2-pokojowe o powierzchni 50 m², położone na pierwszym piętrze czteropiętrowego bloku na Olechowie w Łodzi. Lokal znajduje się w spokojnej, zielonej części dzielnicy, która cieszy się dużą popularnością wśród rodzin z dziećmi oraz osób ceniących komfort i wygodę codziennego życia. Gotowe do zamieszkania - wyposażone w meble i sprzęty AGD. Nowa instalacja elektryczna w całym mieszkaniu. Szczegóły nieruchomości: • metraż: 50 m² • piętro: pierwsze w budynku 4-kondygnacyjnym • balkon: z widokiem na zieleń • ogrzewanie: miejskie • czynsz: ok. 700 zł (przy 4 osobach) • przynależna komórka lokatorska Układ mieszkania: • salon z wyjściem na balkon, • duża sypialnia lub pokój dziecięcy • jasna kuchnia z oknem, • łazienka, • przestronny przedpokój z zabudowaną szafą. Mieszkanie jest w pełni rozkładowe - każde pomieszczenie posiada osobne wejście z przedpokoju, co zapewnia maksymalną funkcjonalność i komfort codziennego użytkowania. Standard wykończenia: Lokal w stanie pozwalającym na wprowadzenie się bez nakładów. Kuchnia z zabudową meblową oraz sprzętem AGD w bardzo dobrym stanie. Atuty i udogodnienia: • mieszkanie rozkładowe, funkcjonalny układ, • balkon z widokiem na zieleń, • komórka lokatorska - idealna na rowery lub rzeczy sezonowe, • duży parking pod blokiem - zawsze wolne miejsce postojowe. W najbliższym otoczeniu: • sklepy - ok. 100 m, • przedszkole - ok. 100 m, • szkoła podstawowa - ok. 300 m, • przystanki autobusowe i tramwajowe - ok. 500 m. W pobliżu również tereny rekreacyjne, punkty usługowe i placówki medyczne - wszystko w zasięgu spaceru. Niedaleko ok 500m - Las na Janowie. W trakcie budowy - ok 300m - aquapark Widzew Dlaczego warto? To przestronne mieszkanie na pierwszym piętrze będzie doskonałym wyborem dla rodzin z dziećmi, osób starszych lub jako inwestycja na wynajem. Atutem jest funkcjonalny układ pomieszczeń, spokojna okolica oraz gotowość do zamieszkania bez konieczności nakładów finansowych i remontów. W mieszkaniu na życzenie kupującego mogą zostać meble. Finansowanie: Pomagamy w uzyskaniu kredytu hipotecznego - współpracujemy z doświadczonymi doradcami finansowymi, którzy dobiorą najlepsze rozwiązanie dla Ciebie. Informacja prawna: Ogłoszenie ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 § 1 Kodeksu Cywilnego. Zapraszam na prezentację! Cudowne mieszkanie z dobrym klimatem! Weź walizkę i zamieszkaj! SellWell Nieruchomości Sp. z o.o. Katarzyna Kozłowska Specjalista ds. nieruchomości [numer]",,,,,własność,,51.742779,19.567647
Łódź Radiostacja,ul. Prezydenta Gabriela Narutowicza,2,43,379000,8775,Oferta biura nieruchomości,2 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-radiostacja-ul-prezydenta-gabriela-narutowicza-2-pokojowe-j6j5z7,https://s2.adresowa.pl/oi/78/70/3a328c_9f73_cover-2-pokojowe-mieszkanie-lodz-radiostacja-ul-prezydenta-gabriela-narutowicza.jpg,Łódź Radiostacja,ul. Prezydenta Gabriela Narutowicza 131,parter,,blok,8 775,"2-pokojowe mieszkanie w sercu Łodzi - idealne na start lub pod inwestycję! ul. Narutowicza 131 | 43,19 m² | wysoki parter | parking za szlabanem Jeśli szukasz mieszkania, w którym możesz zamieszkać od razu, bez stresu i kosztownych remontów - to ogłoszenie jest właśnie dla Ciebie. To przytulne 2-pokojowe mieszkanie o powierzchni 43,19 m² znajduje się w doskonałej lokalizacji - przy ul. Narutowicza 131 w Łodzi. Idealne dla singla, pary lub jako pewna inwestycja pod wynajem (rejon CKD cieszy się dużym zainteresowaniem studentów i pracowników szpitala). Co wyróżnia to mieszkanie: Funkcjonalny układ - dwa ustawne pokoje, osobna kuchnia i łazienka zapewniają wygodę i prywatność. Wysoki parter - komfortowe wejście bez konieczności wchodzenia po schodach. Po remoncie generalnym (2006 r.) - wymienione instalacje elektryczne, odświeżone wnętrza. Dwustronna ekspozycja okien (wschód-zachód) - mieszkanie jest jasne o poranku i przytulne po południu. Wyposażenie w cenie - wszystko, co widzisz na zdjęciach, zostaje dla Ciebie. Wystarczy przyjść z walizką! Parking tylko dla mieszkańców - za szlabanem, więc masz pewność, że zawsze znajdziesz miejsce. Lokalizacja, która daje więcej: Tu masz wszystko w zasięgu kilku minut: trzy parki (idealne na spacery i aktywny wypoczynek), przedszkola i szkoły w pobliżu, szpital CKD i liczne sklepy, świetne połączenia komunikacyjne z centrum miasta. To miejsce, które pozwala żyć wygodnie - blisko natury, a jednocześnie w samym sercu Łodzi. Dodatkowe informacje: Powierzchnia: 43,19 m² Czynsz: ok. 793 zł Forma własności: spółdzielcze własnościowe prawo do lokalu (z możliwością założenia księgi wieczystej) Nie czekaj! Umów się na prezentację, poczuj klimat tego miejsca i przekonaj się, że to Twoje nowe „M” w Łodzi. Zadzwoń już dziś - to może być najlepsza decyzja w tym roku. Monika Lisiak tel. [numer] [email] House Agent Doradcy finansowi współpracujący z House Agent pomagają w organizacji wszystkich formalności niezbędnych do uzyskania kredytu. \\\""Powyższa oferta ma charakter informacyjny i nie jest ofertą w rozumieniu przepisów kodeksu cywilnego. Opis nieruchomości został sporządzony na podstawie informacji uzyskanych od właściciela i może być aktualizowany. Skontaktuj się z nami w celu zapoznania się ze szczegółami oferty.\\\”",,tak,,,,,51.773573,19.495203
Łódź Polesie,,2,49,505000,10306,Bez pośredników,3 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-polesie-2-pokojowe-49-m2-q2f7f5,https://s2.adresowa.pl/oi/11/2e/3a2e40_f727_cover-2-pokojowe-mieszkanie-lodz-polesie.jpg,Łódź Polesie,,3,,blok,10 306,"Zapraszam do zakupu idealnego mieszkania w sercu Łodzi, na Starym Polesiu! Funkcjonalne, dwupokojowe mieszkanie z oddzielną, przestronną kuchnią i łazienką. Całość o powierzchni 49,17 m² w zadbanym bloku z cegły (3. piętro). To wyjątkowa propozycja, która ma dwa kluczowe atuty: PRESTIŻOWĄ LOKALIZACJĘ oraz GWARANCJĘ MIEJSCA PARKINGOWEGO na zamykanym dziedzińcu, co jest cenne w lokalizacji, gdzie wokół są parkomaty. --- GŁÓWNE KORZYŚCI - KUPUJESZ KOMFORT I KAPITAŁ --- • MIEJSCE PARKINGOWE W CENIE Nie tracisz czasu na szukanie miejsca do zaparkowania. Masz miejsce na zamykanym dziedzińcu + dodatkową kartę na drugie auto, która uprawnia do zaparkowania auta kilka dni w miesiącu, co jest idealne, jeśli odwiedzają Cię goście. To ogromny atut, który gwarantuje spokój i podnosi wartość nieruchomości. • LOKALIZACJA PREMIUM Piesza dostępność do największych łódzkich atrakcji i uczelni: - Manufaktura, Piotrkowska i Park na Zdrowiu oraz aquapark Fala: 10 minut spacerem. - Uniwersytet Medyczny (UMED) na sąsiedzkiej ulicy. Mieszkanie jest doskonale skomunikowane, blisko przystanków i Rynku Barlickiego ze świeżymi produktami od rolników. • GOTOWE DO ZAMIESZKANIA Mieszkanie jest w bardzo dobrym standardzie, umeblowane (możliwość pozostawienia wyposażenia - do uzgodnienia). Idealne dla pary, singla lub jako gotowiec inwestycyjny pod najem. • CIEPŁE I CICHE Blok z cegły (nie to, co blokowiska z wielkiej płyty) - ceniony za świetną izolację termiczną (w lato jest przyjemny chłód, zimą utrzymuje ciepło). --- SZCZEGÓŁY MIESZKANIA (49,17 m²) --- Mieszkanie jest bardzo ustawne, wys. 2,75 m (to więcej niż w blokach z płyty), ma klimatyczną, przyjemną podłogę drewnianą i posiada funkcjonalny rozkład: • Pokój (19 m²), od strony wschodnio-południowej: Przestronna, jasna przestrzeń idealna do życia. Miałam tu sypialnię z przepięknym widokiem na drzewa i zamykany dziedziniec, co daje spokój i idealną regenerację w centrum miasta. Balkon typu loggia, zmieścisz tu wiele doniczek, fotel brazylijski czy hamak. • Pokój (12 m²), od strony zachodnio-północnej: Ustawny, idealny do pracy zdalnej czy spotkań w bliskim gronie lub jako pokój dla jednej osoby. • Kuchnia (9 m²), od strony zachodnio-północnej: Bardzo ustawna i swobodnie mieści stół z 4 krzesłami. • Łazienka: Z wanną, umywalką, WC i pralką, wykończona płytkami. Okienko-świetlik na ścianie kuchni, co zapewnia dostęp światła do łazienki i nie wymaga palenia światła w ciągu dnia, usytuowane wyżej, ponad linią wzroku, co zapewnia prywatność. • Korytarz: Przestronny, z dużą szafą we wnęce i pawlaczem nad przejściem do kuchni. --- KOSZTY I FORMALNOŚCI --- • Czynsz Administracyjny: 645 zł (zawiera zaliczki na CO, wodę i fundusz remontowy) - standard dla wysokiego bloku z centralnym ogrzewaniem miejskim. • Pełna własność z Księgą Wieczystą. Bez problemów prawnych. Nie przegap okazji! Nieruchomości z prywatnym parkingiem w centrum sprzedają się najszybciej. Zapraszam do kontaktu w celu umówienia prywatnej prezentacji. Najchętniej w dniach 17-19.11.",,tak,osobna,,własność,Wyposażenie: pralka,51.759292,19.455878
Łódź Śródmieście,ul. Drewnowska,2,49,335000,6837,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-drewnowska-2-pokojowe-h5t0j9,https://s2.adresowa.pl/oi/3e/30/3a2da2_b314_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-drewnowska.jpg,Łódź Śródmieście,ul. Drewnowska,3,,kamienica,6 837,"Na sprzedaż oferuję atrakcyjne mieszkanie w kamienicy w centrum. Budynek jest ogrodzony i zamykany. Przed budynkiem są miejsca parkingowe, więc nie ma problemu z parkowaniem. Blisko przystanki i komunikacji miejskiej oraz CH Manufaktura. Informacje o mieszkaniu: • Zlokalizowane przy ul. Drewnowskiej 33, w bezpośrednim sąsiedztwie Manufaktury oraz zaledwie kilka minut spacerem od ul. Piotrkowskiej. • Powierzchnia: 49,27 m² • Piętro: 3 • Rodzaj budynku: kamienica • Stan lokalu: dobry, do ewentualnego odświeżenia / remontu • Ogrzewanie: nie ma centralnego ogrzewania • Czynsz: 350 zł Mieszkanie składa się z: • salonu, • oddzielnej sypialni, • kuchni z jadalnią, • garderoby / magazynku, • łazienki z WC, • przedpokoju. Układ pomieszczeń jest funkcjonalny, co sprawia, że mieszkanie świetnie sprawdzi się zarówno dla pary, jak i jako inwestycja pod wynajem. Mieszkanie jest obecnie wynajmowane solidnemu najemcy, który wyraził chęć przedłużenia umowy na kolejny rok, co w przypadku zakupu inwestycyjnego zapewnia natychmiastowy dochód bez konieczności szukania nowego lokatora. UWAGA: zdjęcia przedstawiają stan sprzed 4 lat, przed wynajęciem mieszkania. Wszystkim pośrednikom z góry dziękuję.",,,,,,,51.78111,19.434213
Łódź Górna,,2,39,475000,12179,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-39-m2-y1p5z3,https://s2.adresowa.pl/oi/41/1c/3a2d98_3095_cover-2-pokojowe-mieszkanie-lodz-gorna.jpg,Łódź Górna,,parter,,,12 179,"Na sprzedaż nowoczesne, w pełni wyposażone mieszkanie dwupokojowe o powierzchni 39,19 m², na wysokim parterze na osiedlu Chojny Park. W skład mieszkania wchodzi: - jasny salon z aneksem kuchennym, - sypialnia, - łazienka, - duży balkon. Mieszkanie sprzedawane jest z pełnym wyposażeniem, zabudową kuchenną ze sprzętami AGD. Do mieszkania przynależy komórka lokatorska oraz miejsce parkingowe, dodatkowo płatne 25 000 zł. Zapraszam do kontaktu i obejrzenia mieszkania na żywo.",tak,tak,aneks,,,,51.759292,19.455878
